zoom_pos,focus_pos
30000,36090
30100,36060
30200,36020
30300,35980
30400,35940
30500,35890
30600,35860
30700,35820
30800,35780
30900,35750
31000,35700
31100,35670
31200,35620
31300,35580
31400,35540
31500,35510
31600,35460
31700,35410
31800,35400
31900,35350
32000,35300
32100,35270
32200,35220
32300,35190
32400,35150
32500,35110
32600,35060
32700,35030
32800,34990
32900,34950
33000,34910
33100,34870
33200,34830
33300,34800
33400,34750
33500,34710
33600,34680
33700,34630
33800,34600
33900,34560
34000,34520
34100,34480
34200,34450
34300,34410
34400,34370
34500,34340
34600,34300
34700,34260
34800,34220
34900,34190
35000,34150
35100,34110
35200,34080
35300,34050
35400,34010
35500,33980
35600,33940
35700,33910
35800,33870
35900,33840
36000,33810
36100,33770
36200,33740
36300,33700
36400,33670
36500,33640
36600,33600
36700,33570
36800,33540
36900,33510
37000,33480
37100,33440
37200,33410
37300,33380
37400,33350
37500,33320
37600,33280
37700,33260
37800,33220
37900,33190
38000,33160
38100,33130
38200,33100
38300,33070
38400,33040
38500,33010
38600,32980
38700,32950
38800,32920
38900,32890
39000,32860
39100,32830
39200,32800
39300,32770
39400,32750
39500,32720
39600,32690
39700,32660
39800,32630
39900,32600
40000,32580
40100,32550
40200,32520
40300,32500
40400,32470
40500,32440
40600,32420
40700,32390
40800,32360
40900,32340
41000,32310
41100,32280
41200,32250
41300,32230
41400,32220
41500,32210
41600,32200
41700,32180
41800,32160
