zoom_pos,focus_pos
30000,37162
30100,37100
30200,37057
30300,37015
30400,36989
30500,36965
30600,36932
30700,36868
30800,36851
30900,36790
31000,36744
31100,36734
31200,36687
31300,36643
31400,36595
31500,36583
31600,36499
31700,36474
31800,36452
31900,36401
32000,36323
32100,36347
32200,36292
32300,36257
32400,36226
32500,36187
32600,36154
32700,36082
32800,36071
32900,35990
33000,35943
33100,35935
33200,35893
33300,35854
33400,35795
33500,35790
33600,35764
33700,35692
33800,35631
33900,35628
34000,35562
34100,35522
34200,35553
34300,35496
34400,35440
34500,35397
34600,35353
34700,35344
34800,35313
34900,35234
35000,35222
35100,35164
35200,35174
35300,35124
35400,35094
35500,35053
35600,35031
35700,34998
35800,34957
35900,34912
36000,34884
36100,34814
36200,34828
36300,34773
36400,34730
36500,34679
36600,34697
36700,34638
36800,34605
36900,34587
37000,34569
37100,34478
37200,34476
37300,34431
37400,34429
37500,34351
37600,34374
37700,34332
37800,34295
37900,34274
38000,34230
38100,34206
38200,34183
38300,34155
38400,34096
38500,34079
38600,34073
38700,34018
38800,33996
38900,33998
39000,33950
39100,33887
39200,33869
39300,33853
39400,33817
39500,33793
39600,33793
39700,33723
39800,33702
39900,33697
40000,33637
40100,33647
40200,33605
40300,33594
40400,33542
40500,33498
40600,33478
40700,33443
40800,33444
40900,33423
41000,33414
41100,33350
41200,33329
41300,33340
41400,33294
41500,33285
41600,33242
41700,33249
41800,33198
