zoom_pos,focus_pos
30000,37192
30100,37130
30200,37087
30300,37045
30400,37019
30500,36995
30600,36962
30700,36898
30800,36881
30900,36820
31000,36774
31100,36764
31200,36717
31300,36673
31400,36625
31500,36613
31600,36529
31700,36504
31800,36482
31900,36431
32000,36353
32100,36377
32200,36322
32300,36287
32400,36256
32500,36217
32600,36184
32700,36112
32800,36101
32900,36020
33000,35973
33100,35965
33200,35923
33300,35884
33400,35825
33500,35820
33600,35794
33700,35722
33800,35661
33900,35658
34000,35592
34100,35552
34200,35583
34300,35526
34400,35470
34500,35427
34600,35383
34700,35374
34800,35343
34900,35264
35000,35252
35100,35194
35200,35204
35300,35154
35400,35124
35500,35083
35600,35061
35700,35028
35800,34987
35900,34942
36000,34914
36100,34844
36200,34858
36300,34803
36400,34760
36500,34709
36600,34727
36700,34668
36800,34635
36900,34617
37000,34599
37100,34508
37200,34506
37300,34461
37400,34459
37500,34381
37600,34404
37700,34362
37800,34325
37900,34304
38000,34260
38100,34236
38200,34213
38300,34185
38400,34126
38500,34109
38600,34103
38700,34048
38800,34026
38900,34028
39000,33980
39100,33917
39200,33899
39300,33883
39400,33847
39500,33823
39600,33823
39700,33753
39800,33732
39900,33727
40000,33667
40100,33677
40200,33635
40300,33624
40400,33572
40500,33528
40600,33508
40700,33473
40800,33474
40900,33453
41000,33444
41100,33380
41200,33359
41300,33370
41400,33324
41500,33315
41600,33272
41700,33279
41800,33228
