zoom_pos,focus_pos
30000,37132
30100,37070
30200,37027
30300,36985
30400,36959
30500,36935
30600,36902
30700,36838
30800,36821
30900,36760
31000,36714
31100,36704
31200,36657
31300,36613
31400,36565
31500,36553
31600,36469
31700,36444
31800,36422
31900,36371
32000,36293
32100,36317
32200,36262
32300,36227
32400,36196
32500,36157
32600,36124
32700,36052
32800,36041
32900,35960
33000,35913
33100,35905
33200,35863
33300,35824
33400,35765
33500,35760
33600,35734
33700,35662
33800,35601
33900,35598
34000,35532
34100,35492
34200,35523
34300,35466
34400,35410
34500,35367
34600,35323
34700,35314
34800,35283
34900,35204
35000,35192
35100,35134
35200,35144
35300,35094
35400,35064
35500,35023
35600,35001
35700,34968
35800,34927
35900,34882
36000,34854
36100,34784
36200,34798
36300,34743
36400,34700
36500,34649
36600,34667
36700,34608
36800,34575
36900,34557
37000,34539
37100,34448
37200,34446
37300,34401
37400,34399
37500,34321
37600,34344
37700,34302
37800,34265
37900,34244
38000,34200
38100,34176
38200,34153
38300,34125
38400,34066
38500,34049
38600,34043
38700,33988
38800,33966
38900,33968
39000,33920
39100,33857
39200,33839
39300,33823
39400,33787
39500,33763
39600,33763
39700,33693
39800,33672
39900,33667
40000,33607
40100,33617
40200,33575
40300,33564
40400,33512
40500,33468
40600,33448
40700,33413
40800,33414
40900,33393
41000,33384
41100,33320
41200,33299
41300,33310
41400,33264
41500,33255
41600,33212
41700,33219
41800,33168
