zoom_pos,focus_pos
30000,36081
30150,36030
30300,35971
30450,35909
30600,35881
30750,35832
30900,35737
31050,35696
31200,35639
31350,35576
31500,35511
31650,35459
31800,35398
31950,35362
32100,35269
32250,35213
32400,35160
32550,35120
32700,35030
32850,34998
33000,34938
33150,34879
33300,34823
33450,34774
33600,34678
33750,34626
33900,34579
34050,34546
34200,34484
34350,34423
34500,34376
34650,34328
34800,34225
34950,34214
35100,34175
35250,34105
35400,34022
35550,33992
35700,33931
35850,33901
36000,33848
36150,33794
36300,33727
36450,33695
36600,33625
36750,33579
36900,33537
37050,33486
37200,33452
37350,33390
37500,33352
37650,33303
37800,33248
37950,33190
38100,33141
38250,33093
38400,33080
38550,33040
38700,32974
38850,32933
39000,32875
39150,32824
39300,32786
39450,32743
39600,32701
39750,32661
41800,32035
